new	mới
assignment	nhiệm vụ
in charge	chịu trách nhiệm
flyer	tờ rơi
administration	việc quản trị
favorite	ưa thích nhất
realize	nhận ra
architecture	kiến trúc
aim	mục tiêu / nhắm đến
recover	phục hồi
secretary	thư ký
distance	khoảng cách
century	thế kỷ
envelope	bì thư
quantity	số lượng
anticipate	trông đợi
play	vở kịch
grand opening	buổi khai trương
version	phiên bản
plastic	nhựa
comply	tuân thủ
rule	quy định
impact	tác động
cable	dây cáp
technique	kỹ thuật
confidential	bí mật
work	hoạt động
inventory	hàng hóa / kiểm kê hàng
on behalf of	thay mặt cho
match	tương ứng / phù hợp với
scholarship	học bổng
assure	đảm bảo
poor	tệ
as long as	miễn là
whenever	bất kỳ khi nào
nearby	ở gần đó
shareholder	cổ đông
risk	rủi ro
considerable	đáng kể
balance	số dư / tiền còn lại
meter	mét
consult	hỏi ý kiến / tham khảo
huge	khổng lồ
artwork	tác phẩm nghệ thuật
patron	khách
durable	bền
vacancy	vị trí trống / chỗ trống
stop by / drop by	ghé đến
emergency	việc khẩn cấp
factor	nhân tố
retain	giữ lại
publication	ấn phẩm
earlier	trước đó
packaging	bao bì
interest	lãi
well-known	nổi tiếng
relatively	tương đối
carpet	tấm thảm
rely on	phụ thuộc / tin cậy
run	điều hành
exceptional	tuyệt vời
slightly	một ít / nhỏ
occasion	dịp
critic	nhà phê bình
elevator	thang máy
measure	đo lường
highlight	làm nổi bật
conclude	kết luận
direct	chuyển đến / hướng đến
light	nhẹ
record	thu âm / thu hình
wildlife	động vật hoang dã
lack	sự thiếu
regret	tiếc
proceed	tiến hành / tiến đến
booth	gian hàng / buồng
steadily	đều
spacious	rộng rãi
restrict	giới hạn
fall	mùa thu
well	rất / rất nhiều
grocery	thực phẩm
commitment	sự cam kết / tậm tân
circumstance	hoàn cảnh
emphasize	nhấn mạnh
commute	đi đến chỗ làm
carry out	tiến hành
practice	cách thức / thói quen
regardless of	bất kể
lease	thuê / hợp đồng thuê
consistently	luôn luôn / đều đặn
population	dân số
qualify	đủ điều kiện
forum	diễn đàn
donor	người đóng góp
authority	người có thẩm quyền / quyền hành
oversee	giám sát
each other	nhau / lẫn nhau
onto	lên trên
golf	môn đánh gôn
substantial	đáng kể
sufficient	đủ
missing	thiếu / bị mất
writer	tác giả / nhà văn
worldwide	khắp thế giới
weight	trọng lượng
shortly	một thời gian ngắn / sớm
refreshments	đồ ăn, đồ uống nhẹ
pressure	áp lực
line	đường dây
measure	biện pháp
eager	háo hức
office supplies	văn phòng phẩm
entry	việc đi vào
waste	rác thải
rather	khá
pay	lương
transit	vận chuyển
proof	bằng chứng
nor	cũng không
glad	vui
banquet	đại tiệc
adequate	đủ / phù hợp
essential	cần thiết
equal	bằng / bằng nhau
cautious	cẩn thận
fulfill	đáp ứng
repeat	lặp lại
urgent	khẩn cấp
accordingly	theo đó / phù hợp
lawyer	luật sư
subject to	chịu
transaction	giao dịch
withdraw	rút
conflict	mâu thuẫn
collaborate	hợp tác
disruption	sự gián đoạn
cabinet	cái tủ
by the time	tính đến lúc
necessarily	nhất thiết
acquaintance	người quen
break down	bị hư
absent	vắng mặt
lately	gần đây
inc.	tập đoàn
corporate	doanh nghiệp
senior	cấp cao
major	lớn
press	báo chí
media	truyền thông
science	khoa học
regards	kính chúc
college	cao đẳng
involve	bao gồm
official	chính thức
professor	giáo sư
avenue	đại lộ
entire	toàn bộ
line	tuyến
work	tác phẩm
officer	giám đốc / cán bộ
certain	nhất định
global	toàn cầu
institute	viện
venue	địa điểm
private	riêng tư / cá nhân
last	kéo dài
organic	hữu cơ
state	tiểu bang
suite	dãy phòng
graphic	đồ họa / hình ảnh
journal	tạp chí
associate	người cộng tác
general	thường / chung
role	vai trò / vai diễn
press release	thông cáo báo chí
term	hạn / thời hạn
advanced	cao cấp / tiên tiến
basic	cơ bản
particular	đặc biệt
overall	nói chung / toàn bộ
coordinator	người điều phối
nature	thiên nhiên
single	chỉ một cái / từng cái một
claim	đòi (bồi thường,...)
positive	tích cực
get	khiến cho / làm cho
surprise	gây ngạc nhiên
right	ngay
legal	pháp lý
on-site	tại chỗ
hesitate	ngại
former	trước đây
edition	phiên bản
heat	sửi nóng / sức nóng
steel	thép
treatment	việc chăm sóc / điều trị
foundation	tổ chức
relevant	thích hợp / liên quan
faculty	ban giảng viên
form	dạng / loại
interior	nội thất
county	quận
citizen	công dân
gain	có được
glass	kính / thủy tinh
live	trực tiếp
cover	nói đến / bao gồm
existing	hiện tại
vendor	người bán
renowned	nổi tiếng
discover	phát hiện / khám phá
reach	liên lạc
whole	toàn bộ
salt	muối
academic	học thuật
thanks to	nhờ vào
wireless	không dây
basis	cơ sở
appeal	hấp dẫn
uk	Anh Quốc
tip	mẹo
database	cơ sở dữ liệu
lounge	phòng thư giãn
accessory	phụ kiện
complex	tổ hợp
trade	thương mại
director	đạo diễn
labor	nhân công / lao động
questionnaire	bảng câu hỏi
terminal	nhà ga
neighborhood	khu vực
permanent	lâu dài / cố định
respect	tôn trọng
aid	hỗ trợ
scale	quy mô
lot	bãi / lô đất
class	hạng / loại
wonderful	tuyệt vời
valley	thung lũng
social	xã hội
athlete	vận động viên
africa	châu Phi
general	tổng
production	kịch / phim / chương trình
progress	sự tiến triển
chain	chuỗi
landscaping	cảnh quan / thiết kế cảnh quan
combine	kết hợp
extension	số máy lẻ
off	khỏi / ra khỏi
strict	nghiêm ngặt
plan	gói (dịch vụ...)
solar	mặt trời
inn	khách sạn nhỏ
costume	trang phục
attempt	cố gắng / thử
finalize	hoàn thành
meter	đồng hồ đo
volume	khối lượng / số lượng
worth	giá trị / đáng
supposed	được dự định
fit	phù hợp với
enterprise	doanh nghiệp
novel	tiểu thuyết
premium	cao cấp
memorandum	thông báo
domestic	trong nước
clerk	nhân viên
institution	tổ chức
wing	cánh
thus	vì vậy
personally	đích thân / bản thân
manner	cách
residential	nhà ở
unit	căn hộ
square	vuông
statement	bảng sao kê
concern	liên quan đến
hand	nộp / đưa
state-of-the-art	hiện đại
stay	tiếp tục / luôn luôn
address	diễn thuyết / nói về
base	lượng (khách hàng...)
commission	ủy ban
surround	bao quanh / xoay quanh
verify	xác minh
engine	động cơ
possibility	khả năng
panel	tấm
then	vậy thì
savings	tiền tiết kiệm
preview	xem trước
kit	bộ
undergo	trải qua
given	xét
serious	nghiêm trọng / nghiêm túc
physical	thể chất
multiple	nhiều
athletic	thể thao / điền kinh
gold	vàng
import	nhập khẩu
fundraising	việc gây quỹ
spokesperson	người phát ngôn
income	thu nhập
eco	môi trường / sinh thái
junior	cấp thấp
sector	lĩnh vực
aspect	khía cạnh
minor	nhỏ
look to	muốn
programming	lập trình
disease	căn bệnh
monitor	giám sát
with/in regard to	về (= about)
unit	sản phẩm
rest	phần còn lại
model	mô hình
apparel	quần áo
amazing	tuyệt vời
quote	báo giá
in case	phòng khi / trong trường hợp
timely	kịp thời
belongings	đồ đạc
now that	bởi vì bây giờ
regard	đánh giá
grateful	biết ơn
utilize	sử dụng
payroll	tiền lương
occasionally	thỉnh thoảng
mutually	chung
remodel	sửa đổi
wonder	muốn biết
resign	từ chức
mechanic	thợ máy
orientation	việc định hướng
strength	điểm mạnh / sức mạnh
injury	chấn thương
consist	bao gồm
sightseeing	việc ngắm cảnh
divide	chia
incorporate	kết hợp
enthusiastic	nhiệt tình
ongoing	đang diễn ra
reminder	thư nhắc nhở
provided that	miễn là
prohibit	cấm
intention	ý định
alike	như nhau
on the other hand	mặt khác
absent	vắng mặt
shortage	sự thiếu
characteristic	đặc điểm
sensitive	nhạy cảm / nhạy
amateur	nghiệp dư
dramatically	nhanh chóng
owing to	do
wage	tiền lương
whichever	bất kỳ cái nào
array	tập hợp
favorable	thuận lợi
alternate	thay thế
dangerous	nguy hiểm
lately	gần đây (recently)
concentrate	tập trung
precisely	chính xác
interrupt	gây gián đoạn
scenery	quang cảnh
enroll	đăng ký
elsewhere	ở nơi khác
sum	số tiền
deserve	xứng đáng
sharply	nhanh chóng
row	hàng
one another	lẫn nhau
wrap	gói
beforehand	trước
adversely	bất lợi
institute	ban hành
turn in	nộp
stadium	sân vận động
periodically	thỉnh thoảng
in touch	liên lạc
abundant	nhiều
immensely	to lớn
agenda	nội dung cuộc họp
escort	đi theo
blend	sự pha trộn
consequently	vì vậy
journey	chuyến đi
waive	bãi bỏ
